Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density,Cluster
USA,2017,February,Tuesday,Morning,Rural,Street,Clear,157.703299,1,106,<18,Female,0.10804694,0,Moderate,2,0,Minor,1,3,23.91075758,2063.506177,Wet,Speeding,4,36513.13051,79315.74903,Australia,1605.559048,2
Russia,2004,October,Sunday,Afternoon,Urban,Highway,Rainy,381.8691691,4,90,26-40,Male,0.104383554,1,Poor,0,1,Minor,7,0,42.13474203,273.4795112,Dry,Drunk Driving,9,8214.641313,90046.91483,Australia,4302.572857,1
Australia,2013,June,Tuesday,Morning,Rural,Main Road,Rainy,294.9321,4,87,26-40,Male,0.0211029,0,Good,0,0,Minor,10,4,20.03008988,4938.285212,Wet,Drunk Driving,1,42546.1842,4025.340594,South America,4829.229245,3
USA,2003,December,Friday,Afternoon,Rural,Street,Foggy,368.0140693,4,114,18-25,Male,0.130937519,0,Good,2,1,Minor,7,0,14.6930149,2574.21313,Icy,Weather,7,6470.147939,36306.75784,Australia,2338.919612,4
India,2001,April,Thursday,Afternoon,Urban,Main Road,Clear,155.6354902,1,66,41-60,Female,0.208994189,1,Poor,0,2,Minor,14,1,44.50451413,4157.162172,Snow-covered,Distracted Driving,3,26932.87679,45189.39219,Europe,2260.978835,4
China,2016,April,Wednesday,Afternoon,Rural,Highway,Clear,211.6309586,3,111,<18,Male,0.146627114,1,Good,1,1,Moderate,6,3,47.93349285,7632.959385,Snow-covered,Speeding,8,10444.32971,33667.19558,Asia,2322.49177,1
USA,2019,December,Sunday,Afternoon,Rural,Main Road,Snowy,285.8946436,3,85,<18,Male,0.082139566,0,Good,2,0,Severe,19,1,7.501631001,1249.04199,Dry,Distracted Driving,3,22497.44996,28901.28846,Australia,1558.14862,4
UK,2024,August,Friday,Morning,Urban,Main Road,Clear,227.9080695,3,113,61+,Male,0.230962598,0,Moderate,1,2,Minor,14,4,21.01473188,382.3762117,Dry,Drunk Driving,2,1278.861435,62036.52143,South America,3804.765031,1
Brazil,2016,October,Friday,Evening,Urban,Street,Rainy,203.5170105,3,64,61+,Female,0.101332489,0,Poor,0,2,Moderate,13,4,53.38333107,3158.542252,Icy,Distracted Driving,8,38458.22122,74880.6917,South America,4688.593736,2
Brazil,2006,February,Thursday,Morning,Urban,Highway,Rainy,403.1375628,2,106,26-40,Male,0.159771584,1,Good,1,2,Minor,13,4,27.30319655,616.6400815,Icy,Speeding,8,35389.60446,97034.58473,Australia,3140.81955,2
Australia,2012,October,Friday,Night,Rural,Street,Windy,371.4523463,1,119,<18,Female,0.243280195,1,Moderate,2,1,Moderate,9,3,10.07894775,9676.49085,Wet,Weather,0,45049.99978,63050.10277,South America,1229.580789,3
Russia,2008,December,Monday,Night,Rural,Highway,Foggy,188.151759,1,62,41-60,Female,0.009160718,0,Good,1,0,Minor,5,0,36.14291367,6425.944519,Wet,Distracted Driving,9,31417.88273,68887.83284,North America,4850.022552,0
Germany,2016,July,Tuesday,Morning,Rural,Main Road,Rainy,449.9925761,2,56,<18,Male,0.241396249,1,Moderate,1,1,Moderate,17,0,25.34304508,6529.25004,Dry,Drunk Driving,1,49306.79559,19000.26384,North America,2662.355872,4
Brazil,2003,January,Wednesday,Afternoon,Urban,Street,Snowy,435.9449767,1,88,61+,Male,0.006617364,1,Good,0,2,Minor,0,1,37.32550287,9999.567642,Wet,Distracted Driving,8,36131.92553,77566.52273,South America,3312.294884,0
India,2021,June,Saturday,Evening,Rural,Street,Windy,142.1251182,2,113,18-25,Female,0.146520089,0,Poor,1,2,Moderate,12,2,36.96762413,4383.760596,Dry,Drunk Driving,3,41551.94722,5490.264303,North America,686.569904,2
India,2004,June,Sunday,Evening,Urban,Highway,Clear,328.816231,2,101,61+,Male,0.143700947,0,Moderate,2,2,Moderate,4,0,25.05578188,190.2710661,Icy,Drunk Driving,1,44707.55239,24861.99067,South America,516.856125,2
Australia,2009,August,Friday,Morning,Rural,Main Road,Snowy,51.36173005,4,58,18-25,Female,0.026924835,0,Good,2,0,Minor,19,4,31.77083362,1648.841983,Snow-covered,Drunk Driving,1,33364.44761,58974.8496,Australia,4607.008615,2
Australia,2016,August,Thursday,Evening,Urban,Highway,Windy,159.6788623,4,44,<18,Male,0.214424891,1,Moderate,0,0,Minor,2,1,37.66961852,7162.348679,Icy,Drunk Driving,6,23900.76315,82526.70289,Asia,3522.27684,0
Australia,2023,May,Thursday,Evening,Urban,Highway,Rainy,314.075019,1,107,41-60,Female,0.204191803,0,Poor,1,1,Minor,17,1,38.75765849,6907.854589,Icy,Speeding,8,15256.06123,14851.7505,Europe,3714.027549,4
Brazil,2013,April,Tuesday,Afternoon,Rural,Street,Clear,445.4585353,2,36,18-25,Female,0.129016903,1,Good,1,0,Minor,19,0,15.68037455,2954.409904,Wet,Weather,6,13165.37043,79113.27205,Europe,1882.084599,4
Australia,2024,March,Tuesday,Evening,Urban,Highway,Windy,308.675659,2,112,61+,Male,0.010065326,0,Moderate,0,2,Minor,14,0,40.89928994,9564.358836,Dry,Distracted Driving,4,42939.50646,47123.15205,Australia,4489.500178,0
India,2004,December,Friday,Evening,Rural,Street,Windy,138.4544745,3,78,41-60,Male,0.04992316,1,Poor,2,0,Minor,11,3,30.35536673,5246.533589,Wet,Drunk Driving,6,2008.708662,18582.41785,Europe,4141.835151,1
Australia,2003,November,Monday,Afternoon,Urban,Highway,Windy,312.905958,2,111,26-40,Male,0.189112834,1,Good,0,2,Moderate,0,2,18.54873612,9579.564472,Icy,Mechanical Failure,1,17773.69949,80016.43289,Asia,1290.356546,0
India,2003,January,Friday,Morning,Rural,Main Road,Snowy,74.06769966,3,101,26-40,Male,0.003899893,1,Poor,0,2,Severe,11,3,44.66065072,1611.149912,Icy,Mechanical Failure,9,14524.17379,1233.890523,North America,3237.600846,1
India,2009,April,Wednesday,Morning,Rural,Street,Windy,210.0901956,1,47,26-40,Male,0.231223652,0,Moderate,2,2,Moderate,1,3,31.25210159,9342.780269,Dry,Distracted Driving,5,38098.44745,25476.52704,Europe,1333.670594,0
Australia,2012,January,Friday,Night,Rural,Street,Snowy,133.5168566,3,89,<18,Male,0.087685561,1,Good,0,2,Severe,9,4,58.74529677,9287.856725,Wet,Drunk Driving,8,28887.23721,49842.00913,Australia,4461.957404,3
Japan,2000,October,Sunday,Morning,Urban,Main Road,Windy,168.7315833,4,98,18-25,Female,0.173793494,1,Poor,2,2,Minor,0,3,55.58600271,9757.972163,Dry,Mechanical Failure,9,12994.14902,93264.02355,North America,3031.0665,0
India,2022,April,Sunday,Morning,Rural,Street,Foggy,410.7939163,3,32,<18,Male,0.073601762,1,Good,1,0,Severe,1,0,51.90544588,5936.488666,Snow-covered,Mechanical Failure,9,12410.50157,49296.44157,Australia,1947.917666,0
India,2015,January,Monday,Night,Urban,Highway,Clear,499.8139021,1,49,26-40,Male,0.162466952,1,Poor,1,0,Moderate,5,3,18.86508201,3997.144687,Snow-covered,Speeding,7,27929.43614,47447.45496,Europe,79.58240569,1
USA,2022,April,Sunday,Afternoon,Urban,Street,Snowy,64.93245966,3,97,41-60,Female,0.235051611,1,Moderate,2,2,Minor,5,4,48.68207722,1784.658711,Icy,Drunk Driving,5,28779.60299,72487.64509,South America,3597.844654,1
USA,2008,January,Sunday,Morning,Rural,Highway,Clear,390.6842442,3,51,26-40,Male,0.098748249,0,Poor,2,2,Moderate,1,4,27.91639028,3913.132993,Wet,Speeding,2,25849.78502,83673.20125,Australia,4459.32853,1
India,2014,October,Monday,Morning,Rural,Highway,Rainy,397.8612308,4,85,18-25,Male,0.11420637,1,Poor,0,0,Minor,9,3,51.59397823,937.7117396,Dry,Speeding,6,40192.4699,80900.87219,South America,400.023798,2
Germany,2018,April,Friday,Morning,Rural,Street,Foggy,160.7607998,4,55,18-25,Female,0.163717054,1,Poor,1,2,Minor,13,3,30.60272172,816.2499149,Wet,Distracted Driving,9,26110.57311,36050.84691,South America,1931.725826,2
Japan,2003,October,Thursday,Morning,Rural,Main Road,Windy,215.8612491,3,72,61+,Male,0.097140422,0,Good,2,2,Moderate,5,3,8.220527743,9544.154858,Snow-covered,Distracted Driving,9,21455.89274,31535.69084,Australia,1076.846812,3
China,2009,March,Saturday,Afternoon,Urban,Main Road,Foggy,170.6468404,1,37,<18,Female,0.058543308,1,Moderate,1,1,Severe,16,2,10.86733441,9163.833044,Dry,Mechanical Failure,1,1145.242121,17203.22067,South America,890.094512,4
Russia,2011,April,Friday,Evening,Urban,Main Road,Foggy,75.17878379,2,82,<18,Male,0.077393124,0,Moderate,1,0,Moderate,15,4,34.10821217,3485.973651,Icy,Drunk Driving,6,34284.91033,48947.9885,Europe,3653.215351,3
USA,2005,October,Monday,Evening,Rural,Street,Windy,211.57027,4,61,18-25,Male,0.075657462,0,Moderate,1,1,Severe,0,0,27.92748594,5045.487465,Snow-covered,Weather,0,1372.765437,1909.131234,North America,301.187235,0
Brazil,2013,August,Thursday,Night,Rural,Main Road,Foggy,341.0331378,3,96,<18,Male,0.100005148,1,Good,2,1,Moderate,11,1,9.208057292,6569.100427,Dry,Weather,7,30351.68466,44079.51076,Europe,1183.336708,0
China,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,404.2851867,4,99,61+,Male,0.198569753,1,Good,0,0,Minor,11,2,35.42249991,8941.704294,Snow-covered,Mechanical Failure,7,37694.77753,42000.3569,Australia,4777.126454,3
Canada,2005,June,Sunday,Evening,Rural,Main Road,Snowy,289.2136224,4,109,<18,Male,0.180366466,1,Moderate,0,1,Minor,17,1,57.5439778,6318.750861,Wet,Distracted Driving,9,38821.59505,71098.51544,Asia,1105.703966,4
Japan,2022,July,Sunday,Morning,Rural,Street,Clear,324.7229444,4,66,26-40,Male,0.053359761,1,Good,0,0,Minor,3,2,48.07368989,2624.575296,Icy,Distracted Driving,4,32965.90082,85230.13278,Australia,2966.527767,2
Brazil,2002,March,Wednesday,Morning,Rural,Street,Rainy,149.7565254,1,105,18-25,Female,0.098628872,1,Poor,2,0,Moderate,18,3,23.12891015,8846.645395,Wet,Mechanical Failure,7,29734.13574,93076.68814,North America,4754.595687,3
China,2016,October,Tuesday,Night,Urban,Main Road,Rainy,158.4183738,3,31,41-60,Male,0.219080837,1,Poor,1,0,Moderate,9,4,7.248791239,2673.384153,Wet,Mechanical Failure,0,18242.74654,16462.08162,South America,2257.147517,1
USA,2015,July,Tuesday,Evening,Urban,Street,Rainy,114.8101125,2,97,18-25,Female,0.134417118,1,Poor,1,2,Minor,5,0,50.50513479,6041.56664,Icy,Distracted Driving,1,13637.38792,7403.250018,Australia,3063.338741,0
China,2021,November,Wednesday,Morning,Urban,Street,Clear,147.0477004,3,59,18-25,Female,0.189467101,1,Moderate,0,2,Moderate,19,4,30.84260047,6665.035303,Icy,Mechanical Failure,5,18366.09407,3038.37343,North America,277.4730175,3
India,2009,September,Wednesday,Morning,Urban,Main Road,Clear,58.78397223,1,60,18-25,Female,0.06922357,0,Good,2,1,Moderate,1,4,34.08470865,3688.530032,Snow-covered,Speeding,2,34605.4104,61854.30637,Australia,4139.724543,1
Canada,2017,January,Sunday,Evening,Rural,Street,Snowy,231.6066915,3,92,<18,Male,0.122972797,0,Poor,2,0,Severe,15,3,27.88442049,2137.572557,Wet,Speeding,0,34765.94703,45121.59377,Asia,632.9023571,2
Canada,2013,June,Thursday,Evening,Rural,Highway,Foggy,252.8824519,2,34,41-60,Male,0.194788998,1,Poor,0,2,Moderate,18,3,12.67286,5583.13923,Snow-covered,Distracted Driving,9,10645.50403,52895.05923,Europe,4522.891721,4
Brazil,2021,February,Friday,Evening,Rural,Highway,Foggy,145.6179526,3,74,61+,Male,0.136867814,0,Poor,0,2,Minor,12,2,49.44611863,4721.380866,Wet,Speeding,1,2635.84048,5734.866126,Australia,1890.455199,1
India,2020,May,Thursday,Evening,Urban,Highway,Snowy,89.89051566,3,97,41-60,Female,0.131840315,1,Poor,0,2,Minor,10,4,50.30383273,3994.605476,Dry,Weather,8,15558.64933,72030.22542,Australia,222.0422239,1
China,2016,August,Friday,Night,Rural,Street,Snowy,68.59536394,3,112,41-60,Female,0.249701245,1,Good,0,0,Severe,17,2,14.47735819,1221.011589,Icy,Drunk Driving,2,9839.899988,50535.11819,Australia,80.24355539,4
India,2023,March,Wednesday,Morning,Rural,Main Road,Rainy,308.683942,2,106,18-25,Female,0.038536436,1,Moderate,0,0,Moderate,2,0,15.3726348,4391.228485,Icy,Weather,0,49499.09811,96530.95408,Europe,28.99700858,0
Russia,2005,July,Sunday,Afternoon,Rural,Street,Clear,52.85536488,1,100,<18,Female,0.077095458,0,Good,1,2,Moderate,7,3,48.89986731,4347.049949,Dry,Drunk Driving,5,2602.614271,55445.38303,Asia,4773.790773,1
Australia,2020,January,Monday,Morning,Rural,Highway,Foggy,159.1092123,1,113,<18,Female,0.242151573,0,Moderate,1,1,Moderate,18,4,8.95642826,2794.894177,Wet,Distracted Driving,0,18594.92406,72136.60075,North America,3222.533764,1
UK,2018,March,Wednesday,Evening,Urban,Street,Windy,383.0900912,3,59,18-25,Female,0.048671473,0,Moderate,0,0,Minor,5,1,16.2064138,2345.911426,Dry,Distracted Driving,6,46970.87492,88951.70353,South America,231.049382,2
India,2019,December,Saturday,Evening,Rural,Main Road,Windy,494.5016618,4,90,41-60,Male,0.005139723,0,Poor,1,1,Severe,11,1,28.64153096,6590.506769,Dry,Speeding,5,30988.04615,95991.60453,North America,1076.885777,0
Russia,2019,December,Sunday,Evening,Urban,Highway,Clear,460.1317031,3,60,26-40,Female,0.078957527,0,Good,0,2,Moderate,16,3,11.24865469,7016.312044,Icy,Weather,2,15076.13653,19749.45347,North America,701.0583484,3
Russia,2014,September,Wednesday,Evening,Rural,Street,Snowy,163.3749692,2,30,26-40,Male,0.18906776,1,Poor,0,1,Minor,6,3,39.12729684,7885.60714,Icy,Speeding,0,13803.5352,77238.05892,Australia,1613.940877,3
Japan,2024,March,Tuesday,Evening,Urban,Highway,Clear,349.3669725,4,45,18-25,Male,0.233079334,1,Moderate,0,1,Moderate,5,2,30.9733677,4138.497887,Wet,Drunk Driving,1,18845.74416,22978.6399,Asia,1959.666693,1
Japan,2016,September,Monday,Night,Rural,Highway,Foggy,408.8351882,2,90,41-60,Female,0.184987051,1,Moderate,2,0,Minor,16,0,47.67641356,3931.165711,Dry,Mechanical Failure,4,1000.585502,46374.69728,Australia,324.284386,4
UK,2022,December,Friday,Morning,Urban,Highway,Clear,402.4745348,4,40,26-40,Female,0.084076844,0,Poor,2,2,Moderate,3,0,27.92828211,9589.102686,Wet,Weather,4,47790.32607,52602.90428,South America,25.71751427,0
Brazil,2008,August,Saturday,Afternoon,Rural,Street,Foggy,113.3829726,2,115,61+,Male,0.1496488,0,Good,0,0,Moderate,19,2,5.246881853,3572.239763,Dry,Drunk Driving,6,9997.733324,19089.97766,South America,3281.782316,4
Russia,2008,December,Wednesday,Morning,Rural,Street,Rainy,327.7660002,3,79,41-60,Female,0.047884032,1,Moderate,0,0,Minor,18,0,21.19889392,5945.121957,Wet,Speeding,1,14340.74426,74951.73882,Australia,540.4811548,4
USA,2005,May,Thursday,Morning,Urban,Main Road,Foggy,456.8129287,1,40,18-25,Male,0.000256385,0,Good,0,2,Moderate,18,1,36.15513353,561.4070542,Icy,Drunk Driving,7,25004.51846,37665.16934,Europe,4630.192331,4
Brazil,2016,April,Wednesday,Morning,Rural,Street,Snowy,416.9901957,1,110,26-40,Male,0.106080613,0,Poor,2,0,Minor,11,3,12.31117374,5933.060937,Snow-covered,Distracted Driving,9,39160.32988,57883.8285,Australia,4439.085971,3
Brazil,2014,March,Tuesday,Afternoon,Rural,Street,Snowy,434.5654063,2,107,<18,Male,0.197625792,1,Poor,1,2,Moderate,19,2,32.22000051,5312.323387,Snow-covered,Mechanical Failure,9,10135.38318,60215.98483,Asia,4742.298306,4
Brazil,2014,May,Saturday,Evening,Rural,Main Road,Clear,170.6204406,3,61,41-60,Female,0.01783224,0,Good,1,2,Severe,19,3,8.672204099,5856.870199,Dry,Distracted Driving,6,5860.377355,23035.12217,Asia,4017.489939,4
Australia,2023,September,Friday,Evening,Urban,Main Road,Rainy,141.8056507,2,90,18-25,Female,0.135208635,0,Poor,2,1,Minor,4,3,8.931121469,4459.506345,Wet,Weather,6,24381.8961,26593.12647,Asia,3987.13581,1
India,2016,May,Thursday,Afternoon,Rural,Street,Snowy,429.8429205,4,72,61+,Female,0.086036308,0,Good,2,1,Moderate,1,2,30.22232981,1243.715538,Snow-covered,Mechanical Failure,5,38645.80256,5163.150491,Europe,1657.548986,2
Russia,2024,June,Thursday,Morning,Rural,Highway,Snowy,247.2838847,1,77,61+,Female,0.196296894,1,Poor,2,0,Severe,17,0,58.1923965,7263.114603,Snow-covered,Speeding,8,33048.74605,80366.08992,Australia,1796.193122,4
India,2017,January,Monday,Afternoon,Urban,Street,Foggy,317.2364026,3,76,41-60,Female,0.171906324,1,Good,0,0,Minor,7,2,20.1816832,2312.530691,Wet,Drunk Driving,9,40111.0792,39258.78906,Asia,3013.39168,2
UK,2001,January,Monday,Night,Rural,Street,Rainy,232.5283592,3,57,41-60,Female,0.199263388,0,Poor,2,1,Moderate,18,1,23.18144448,3685.318459,Wet,Distracted Driving,1,13933.05075,48381.85944,South America,1740.518745,4
China,2011,March,Thursday,Afternoon,Rural,Main Road,Foggy,78.70039376,2,87,26-40,Male,0.015287897,0,Moderate,2,1,Minor,7,1,32.80688124,7435.835706,Snow-covered,Drunk Driving,6,4699.0457,55152.8372,South America,1670.618811,0
China,2010,March,Tuesday,Afternoon,Rural,Street,Snowy,141.0377936,2,57,<18,Female,0.219315045,1,Moderate,2,0,Moderate,3,0,49.23027894,1621.151638,Icy,Speeding,1,33445.00217,61900.45748,South America,3549.871063,2
Australia,2022,March,Friday,Night,Rural,Main Road,Clear,323.3289494,3,57,<18,Male,0.15851861,0,Good,0,2,Moderate,8,1,27.94587633,7060.416949,Snow-covered,Drunk Driving,5,31331.4177,94980.3621,Europe,627.7708075,0
UK,2004,November,Friday,Morning,Rural,Street,Windy,63.79646066,1,39,41-60,Female,0.007867639,0,Moderate,1,0,Severe,9,4,33.32377034,9654.997796,Wet,Speeding,8,37827.86706,32447.5106,North America,2440.197732,3
Japan,2002,March,Sunday,Evening,Rural,Street,Windy,294.4170909,3,102,41-60,Male,0.244986538,1,Moderate,2,1,Severe,4,4,19.83755994,947.4612788,Dry,Speeding,5,42242.52036,49362.62791,Europe,2629.14887,2
Canada,2017,October,Sunday,Night,Rural,Street,Foggy,193.3659436,2,87,26-40,Male,0.081614843,0,Poor,1,1,Moderate,14,1,55.25902853,2352.4158,Snow-covered,Distracted Driving,2,43558.56294,61270.93328,Australia,4834.557556,2
Brazil,2003,June,Monday,Afternoon,Urban,Main Road,Windy,388.8817645,1,72,41-60,Female,0.104867073,1,Poor,1,2,Minor,18,0,46.02564305,1565.253064,Icy,Mechanical Failure,6,29729.30086,63764.0277,Europe,4592.082758,4
Germany,2010,May,Saturday,Morning,Rural,Street,Rainy,165.7673526,2,117,18-25,Female,0.172593044,0,Good,0,0,Minor,8,0,49.80064621,2017.605754,Dry,Weather,2,49311.603,36787.34963,Europe,4757.54965,2
Russia,2022,July,Wednesday,Evening,Rural,Street,Snowy,110.5019653,1,63,61+,Female,0.159740482,1,Moderate,0,0,Minor,14,1,37.18719778,1424.746865,Wet,Distracted Driving,8,7572.287793,53525.887,North America,4350.624979,4
Australia,2000,November,Wednesday,Afternoon,Urban,Main Road,Foggy,358.9691606,4,99,<18,Female,0.017007283,1,Moderate,2,1,Severe,12,1,5.153639273,1067.457459,Snow-covered,Distracted Driving,4,29636.70799,7460.396652,Asia,3085.749788,2
Japan,2020,May,Wednesday,Evening,Urban,Highway,Windy,113.0480644,4,110,26-40,Female,0.206485614,0,Good,0,0,Minor,19,0,29.8772034,9345.21036,Snow-covered,Speeding,2,37660.35873,82963.54027,Europe,524.0787977,4
Japan,2001,January,Sunday,Night,Rural,Highway,Rainy,170.0801138,3,64,61+,Male,0.156337457,1,Moderate,1,2,Moderate,11,1,5.69551973,4595.521047,Icy,Mechanical Failure,5,32128.38961,22991.2073,Australia,2627.318152,2
Russia,2019,December,Wednesday,Afternoon,Rural,Main Road,Snowy,463.2148785,4,83,61+,Male,0.096501936,0,Moderate,0,0,Moderate,6,3,53.36393647,5265.740997,Dry,Drunk Driving,5,38534.25518,81746.08991,Australia,4593.553564,2
Japan,2003,November,Saturday,Evening,Rural,Street,Clear,192.3453753,3,109,<18,Female,0.134658934,1,Poor,0,2,Minor,0,0,30.00983848,7642.360728,Icy,Speeding,9,13535.50867,1686.28817,Asia,2244.501954,0
Brazil,2011,February,Sunday,Evening,Urban,Main Road,Snowy,458.510987,3,108,61+,Female,0.054469205,1,Poor,2,0,Severe,9,1,7.81891975,5016.561774,Icy,Mechanical Failure,6,44951.68307,34037.14779,Europe,2651.106061,2
Japan,2010,July,Wednesday,Evening,Urban,Highway,Snowy,373.3880714,2,58,18-25,Male,0.161211037,1,Poor,2,0,Minor,13,1,34.12736259,186.9860397,Icy,Speeding,4,7176.570426,67868.52217,Australia,935.8497858,4
Canada,2021,January,Saturday,Afternoon,Rural,Main Road,Clear,150.5969915,3,103,<18,Female,0.245622265,1,Poor,2,0,Minor,11,3,33.40977552,1421.446863,Wet,Distracted Driving,9,41984.85893,94696.5016,Asia,4537.700969,2
Japan,2018,June,Friday,Afternoon,Rural,Highway,Snowy,448.2096004,3,81,26-40,Male,0.228138908,0,Moderate,1,1,Severe,19,0,40.86952839,5139.94352,Wet,Mechanical Failure,0,48858.44285,40347.17169,North America,1556.715943,4
China,2023,November,Tuesday,Night,Urban,Highway,Snowy,87.42009893,1,36,<18,Female,0.121030323,1,Poor,1,1,Severe,10,1,26.37759695,1186.945101,Icy,Drunk Driving,0,11777.99044,50649.19212,Asia,401.4552837,1
Australia,2012,May,Saturday,Morning,Rural,Highway,Snowy,154.2612502,1,56,41-60,Male,0.168342142,0,Moderate,1,1,Moderate,7,2,45.91936123,9407.216481,Icy,Distracted Driving,2,28720.08234,90563.33954,Australia,984.3604649,0
India,2006,May,Tuesday,Evening,Urban,Street,Snowy,444.9987254,3,40,18-25,Female,0.149026317,1,Moderate,0,2,Severe,15,1,38.90795265,604.9009761,Snow-covered,Speeding,5,19212.25644,92777.68925,South America,4902.499309,4
Canada,2023,May,Thursday,Afternoon,Urban,Main Road,Snowy,277.2013147,1,117,61+,Female,0.118600196,0,Good,2,1,Minor,11,0,37.69836513,9845.653051,Wet,Drunk Driving,2,39530.38932,75937.38755,Europe,2230.239664,0
Russia,2016,December,Saturday,Night,Rural,Street,Clear,156.1476572,2,36,26-40,Female,0.154288367,1,Moderate,2,0,Moderate,5,4,58.28998498,9137.446478,Dry,Mechanical Failure,4,44632.97792,86776.08963,Australia,1260.640364,3
USA,2007,August,Wednesday,Evening,Rural,Main Road,Windy,393.1312631,4,58,18-25,Female,0.013407123,0,Good,1,2,Severe,0,0,41.34755633,1579.26191,Dry,Distracted Driving,2,19231.59854,32928.50906,North America,1934.77763,0
Canada,2005,May,Sunday,Night,Rural,Main Road,Snowy,187.8208815,2,115,<18,Male,0.024098715,1,Good,2,1,Minor,16,1,18.93711487,6478.660416,Icy,Mechanical Failure,0,30570.33042,39602.63821,South America,1969.050434,4
Russia,2004,April,Friday,Evening,Rural,Street,Snowy,98.87151492,3,98,41-60,Male,0.07850696,0,Good,1,0,Moderate,8,3,32.13520987,3138.141958,Dry,Drunk Driving,7,35625.48451,55947.86634,South America,2670.246158,2
USA,2005,March,Tuesday,Night,Rural,Street,Snowy,258.2067992,3,57,<18,Female,0.056384225,0,Moderate,2,2,Moderate,3,2,36.89236226,6998.150522,Dry,Drunk Driving,4,15063.36682,29684.66556,Europe,1668.599593,0
UK,2015,May,Tuesday,Morning,Urban,Main Road,Rainy,317.2056755,2,75,41-60,Female,0.181683268,1,Moderate,2,2,Moderate,3,3,6.175962062,5448.877849,Wet,Weather,9,36445.90397,47158.87288,Europe,3612.56694,0
Germany,2011,May,Wednesday,Evening,Urban,Main Road,Windy,317.0689304,1,31,<18,Female,0.13038617,0,Poor,1,0,Moderate,7,0,45.31201422,969.0821425,Icy,Distracted Driving,0,46230.29885,80794.8203,Australia,3810.682759,2
Australia,2012,June,Saturday,Afternoon,Rural,Main Road,Snowy,404.5700938,4,40,18-25,Female,0.12628363,0,Poor,2,1,Moderate,8,3,41.44252494,251.7543661,Icy,Speeding,3,28804.81066,54216.98505,Australia,824.9640705,2
UK,2014,January,Monday,Evening,Rural,Main Road,Foggy,247.3916814,4,46,41-60,Female,0.077984369,0,Poor,2,2,Severe,9,4,6.800035418,6950.239699,Dry,Drunk Driving,2,14155.7742,91127.67385,South America,1453.172299,3
USA,2001,June,Friday,Afternoon,Rural,Main Road,Foggy,454.6424684,1,46,26-40,Male,0.183843824,0,Good,1,2,Moderate,16,1,29.97738144,8617.591691,Wet,Mechanical Failure,9,15739.32078,64583.17361,North America,4440.838465,4
China,2004,November,Saturday,Night,Urban,Main Road,Foggy,451.746919,1,49,18-25,Male,0.090239381,0,Good,0,1,Minor,4,3,22.80591601,7446.302992,Wet,Distracted Driving,7,41220.28698,38004.28302,Asia,2215.329548,3
Russia,2017,April,Thursday,Morning,Urban,Main Road,Rainy,71.1371249,3,96,18-25,Female,0.074180994,0,Good,1,0,Minor,19,1,54.77785708,3700.352891,Snow-covered,Weather,0,1540.909921,86729.49453,North America,3147.039295,4
Australia,2012,November,Friday,Night,Rural,Main Road,Windy,206.6112902,3,36,26-40,Female,0.243221049,0,Poor,0,0,Moderate,17,3,26.23955717,8548.582423,Dry,Distracted Driving,6,30861.88918,94562.76084,South America,2102.730175,3
Brazil,2008,May,Friday,Morning,Rural,Highway,Rainy,375.0434849,1,79,18-25,Female,0.241171116,1,Moderate,0,2,Minor,8,0,54.41009926,1071.941159,Snow-covered,Drunk Driving,1,22016.99098,3221.616557,Europe,534.9703395,2
Germany,2016,August,Saturday,Evening,Rural,Highway,Rainy,259.9878696,4,63,26-40,Male,0.157038134,1,Poor,2,1,Severe,19,4,35.41517091,3041.946497,Wet,Drunk Driving,6,13219.5197,67347.04518,North America,584.3941608,1
Australia,2005,September,Thursday,Evening,Rural,Main Road,Rainy,386.0946618,3,32,18-25,Female,0.123200878,1,Moderate,2,1,Minor,16,0,28.59367915,9635.463918,Icy,Distracted Driving,4,3084.542512,61117.74911,Asia,769.4568865,4
USA,2018,May,Thursday,Afternoon,Urban,Main Road,Foggy,113.5207094,1,88,18-25,Male,0.060651035,0,Poor,0,0,Moderate,4,1,8.698438008,8411.083287,Icy,Distracted Driving,4,36735.19716,17644.98395,Asia,3870.907936,0
Australia,2010,January,Saturday,Night,Rural,Highway,Foggy,213.3069002,3,54,18-25,Female,0.153625584,0,Good,2,2,Severe,8,1,42.3304395,894.5937372,Snow-covered,Mechanical Failure,6,27814.2424,22674.42387,Europe,4834.779495,2
Germany,2023,June,Saturday,Morning,Urban,Main Road,Windy,363.3081854,1,65,18-25,Female,0.193686503,0,Poor,1,0,Minor,19,0,20.72324931,7092.489564,Icy,Mechanical Failure,3,43660.33141,14169.59171,North America,3711.1553,4
USA,2000,May,Saturday,Afternoon,Urban,Street,Rainy,150.2908427,1,79,26-40,Female,0.141153378,1,Good,2,0,Moderate,6,3,56.28000213,7345.042337,Wet,Distracted Driving,1,47219.17795,18397.27942,South America,4335.82097,3
